,Word,0,1,2,3,4,5
0,able,,,0.008,,,
1,app,,0.011,,,,
2,based,,,0.008,0.006,,
3,bracelet,,,,,0.009,
4,break,,,,,0.009,
5,could,0.01,,,,,
6,depending,,,0.008,,,
7,detects,,0.011,,,,
8,device,,,,,0.009,
9,game,,,,,0.009,
10,go,0.007,,,,,
11,ie,,0.011,,,,
12,index,0.0,1.0,2.0,3.0,4.0,5.0
13,interactive,,,0.011,,,
14,interface,,0.011,,,,
15,keep,,,,,,0.008
16,lap,,,,,0.009,
17,laptop,,,,,0.009,
18,light,,0.011,,,,
19,move,,,,,,0.008
20,outside,,,,,,0.008
21,people,0.022,,0.011,0.017,,0.008
22,portable,,,,0.012,,
23,put,,,,0.006,,
24,reduce,,0.011,,,,
25,screen,0.01,,,,,
26,sleep,,,,,,0.012
27,someone,,,,0.012,,
28,spaces,0.01,,,,,
29,studying,0.01,,,,,
30,support,,,,0.006,,
31,tables,,,,,,0.008
32,tangible,,,0.008,,,
33,tasks,,,0.008,,,
34,time,,,,,,0.008
35,track,,,0.011,,,
36,user,,,,,0.013,
37,users,,,,,0.009,
38,vibrates,,,,,,0.008
39,water,0.01,,,,,
40,way,,,,0.006,,
41,wearable,,0.011,,0.012,,
42,wifi,,0.011,,,,
43,work,0.022,,,,,
