word,Pos_x,wordCount_x,percent_of_total,Pos_y,wordavg,wordCount_y
break,NOUN,1,0.2,NOUN,0.25277777777777777,4
bus,NOUN,1,0.2,NOUN,0.17142857142857143,2
meditation,NOUN,1,0.2,NOUN,0.15555555555555556,2
study,NOUN,1,0.2,NOUN,0.14166666666666666,2
wearable,NOUN,1,0.2,NOUN,0.15432098765432098,9
affective,ADJ,1,0.3333333333333333,ADJ,0.3333333333333333,1
computing,NOUN,1,0.3333333333333333,NOUN,0.3333333333333333,1
stress,NOUN,1,0.3333333333333333,NOUN,0.26666666666666666,3
bot,NOUN,1,0.2,NOUN,0.2,1
emotional,ADJ,1,0.2,ADJ,0.2,1
format,NOUN,1,0.2,NOUN,0.2,1
support,NOUN,1,0.2,NOUN,0.2,1
tangible,ADJ,1,0.2,ADJ,0.13993271221532091,6
different,ADJ,1,0.2,ADJ,0.12794117647058825,3
friend,NOUN,1,0.2,NOUN,0.2,1
people,NOUN,1,0.2,NOUN,0.13786435786435786,21
personality,NOUN,1,0.2,NOUN,0.2,1
vibe,NOUN,1,0.2,NOUN,0.2,1
collaborate,ADJ,1,0.2,ADJ,0.2,1
light,NOUN,1,0.2,NOUN,0.13343334297281664,19
meeting,NOUN,1,0.2,NOUN,0.2,1
realistic,ADJ,1,0.2,ADJ,0.2,1
tangible,ADJ,1,0.2,ADJ,0.13993271221532091,6
melatonin,NOUN,1,0.25,NOUN,0.25,1
people,NOUN,1,0.25,NOUN,0.13786435786435786,21
sleep,NOUN,1,0.25,NOUN,0.16203703703703703,3
tangible,ADJ,1,0.25,ADJ,0.13993271221532091,6
amount,NOUN,1,0.1,NOUN,0.1,2
coffee,NOUN,2,0.2,NOUN,0.2,2
cup,NOUN,2,0.2,NOUN,0.2,2
outside,NOUN,1,0.1,NOUN,0.11798941798941798,3
progress,NOUN,1,0.1,NOUN,0.125,3
screen,NOUN,1,0.1,NOUN,0.23628117913832197,8
tangent,NOUN,1,0.1,NOUN,0.1,1
track,NOUN,1,0.1,NOUN,0.17916666666666667,6
audio,ADJ,1,0.125,ADJ,0.1898148148148148,3
device,NOUN,1,0.125,NOUN,0.18681245337423827,23
document,NOUN,1,0.125,NOUN,0.125,1
file,NOUN,1,0.125,NOUN,0.125,1
paper,NOUN,1,0.125,NOUN,0.09191176470588236,2
reading,NOUN,1,0.125,NOUN,0.125,1
transit,NOUN,1,0.125,NOUN,0.125,1
user,NOUN,1,0.125,NOUN,0.13707900244400323,28
call,NOUN,1,0.16666666666666666,NOUN,0.14814814814814814,3
earring,NOUN,1,0.16666666666666666,NOUN,0.16666666666666666,1
hard,ADJ,1,0.16666666666666666,ADJ,0.16666666666666666,1
