Pos_x,wordCount_x,doc,percent_of_total,Pos_y,wordavg,wordCount_y
NOUN,1,1,0.2,NOUN,0.25277777777777777,4
NOUN,1,1,0.2,NOUN,0.17142857142857143,2
NOUN,1,1,0.2,NOUN,0.15555555555555556,2
NOUN,1,1,0.2,NOUN,0.14166666666666666,2
NOUN,1,1,0.2,NOUN,0.15432098765432098,9
ADJ,1,2,0.3333333333333333,ADJ,0.3333333333333333,1
NOUN,1,2,0.3333333333333333,NOUN,0.3333333333333333,1
NOUN,1,2,0.3333333333333333,NOUN,0.26666666666666666,3
NOUN,1,3,0.2,NOUN,0.2,1
ADJ,1,3,0.2,ADJ,0.2,1
NOUN,1,3,0.2,NOUN,0.2,1
NOUN,1,3,0.2,NOUN,0.2,1
ADJ,1,3,0.2,ADJ,0.13993271221532091,6
ADJ,1,4,0.2,ADJ,0.12794117647058825,3
NOUN,1,4,0.2,NOUN,0.2,1
NOUN,1,4,0.2,NOUN,0.13786435786435786,21
NOUN,1,4,0.2,NOUN,0.2,1
NOUN,1,4,0.2,NOUN,0.2,1
ADJ,1,5,0.2,ADJ,0.2,1
NOUN,1,5,0.2,NOUN,0.13343334297281664,19
NOUN,1,5,0.2,NOUN,0.2,1
ADJ,1,5,0.2,ADJ,0.2,1
ADJ,1,5,0.2,ADJ,0.13993271221532091,6
NOUN,1,6,0.25,NOUN,0.25,1
NOUN,1,6,0.25,NOUN,0.13786435786435786,21
NOUN,1,6,0.25,NOUN,0.16203703703703703,3
ADJ,1,6,0.25,ADJ,0.13993271221532091,6
NOUN,1,7,0.1,NOUN,0.1,2
NOUN,2,7,0.2,NOUN,0.2,2
NOUN,2,7,0.2,NOUN,0.2,2
NOUN,1,7,0.1,NOUN,0.11798941798941798,3
NOUN,1,7,0.1,NOUN,0.125,3
NOUN,1,7,0.1,NOUN,0.23628117913832197,8
NOUN,1,7,0.1,NOUN,0.1,1
NOUN,1,7,0.1,NOUN,0.17916666666666667,6
ADJ,1,8,0.125,ADJ,0.1898148148148148,3
NOUN,1,8,0.125,NOUN,0.18681245337423827,23
NOUN,1,8,0.125,NOUN,0.125,1
NOUN,1,8,0.125,NOUN,0.125,1
NOUN,1,8,0.125,NOUN,0.09191176470588236,2
NOUN,1,8,0.125,NOUN,0.125,1
NOUN,1,8,0.125,NOUN,0.125,1
NOUN,1,8,0.125,NOUN,0.13707900244400323,28
NOUN,1,9,0.16666666666666666,NOUN,0.14814814814814814,3
NOUN,1,9,0.16666666666666666,NOUN,0.16666666666666666,1
ADJ,1,9,0.16666666666666666,ADJ,0.16666666666666666,1
NOUN,1,9,0.16666666666666666,NOUN,0.16666666666666666,1
ADJ,1,9,0.16666666666666666,ADJ,0.14603174603174604,4
ADJ,1,9,0.16666666666666666,ADJ,0.16666666666666666,1
NOUN,1,10,0.125,NOUN,0.125,1
NOUN,1,10,0.125,NOUN,0.125,1
ADJ,1,10,0.125,ADJ,0.0733695652173913,2
NOUN,1,10,0.125,NOUN,0.125,1
NOUN,1,10,0.125,NOUN,0.125,1
NOUN,1,10,0.125,NOUN,0.125,1
NOUN,1,10,0.125,NOUN,0.26785714285714285,7
NOUN,1,10,0.125,NOUN,0.16203703703703703,3
ADJ,1,11,0.1111111111111111,ADJ,0.1111111111111111,1
NOUN,1,11,0.1111111111111111,NOUN,0.1111111111111111,1
NOUN,1,11,0.1111111111111111,NOUN,0.10703286749482402,8
ADJ,1,11,0.1111111111111111,ADJ,0.1111111111111111,1
ADJ,1,11,0.1111111111111111,ADJ,0.1111111111111111,1
NOUN,1,11,0.1111111111111111,NOUN,0.1111111111111111,1
NOUN,1,11,0.1111111111111111,NOUN,0.1111111111111111,1
NOUN,1,11,0.1111111111111111,NOUN,0.12161696328362995,9
NOUN,1,11,0.1111111111111111,NOUN,0.11495911495911497,3
NOUN,1,12,0.2,NOUN,0.2,1
ADJ,1,12,0.2,ADJ,0.12368326118326119,6
NOUN,2,12,0.4,NOUN,0.23750000000000002,5
NOUN,1,12,0.2,NOUN,0.2,1
ADJ,1,13,0.16666666666666666,ADJ,0.16666666666666666,1
NOUN,1,13,0.16666666666666666,NOUN,0.10703286749482402,8
NOUN,1,13,0.16666666666666666,NOUN,0.1388888888888889,2
NOUN,1,13,0.16666666666666666,NOUN,0.12878787878787878,2
NOUN,1,13,0.16666666666666666,NOUN,0.18273809523809523,8
NOUN,1,13,0.16666666666666666,NOUN,0.17916666666666667,6
NOUN,1,14,0.1111111111111111,NOUN,0.25277777777777777,4
NOUN,1,14,0.1111111111111111,NOUN,0.1111111111111111,1
NOUN,1,14,0.1111111111111111,NOUN,0.10703286749482402,8
NOUN,1,14,0.1111111111111111,NOUN,0.1388888888888889,2
NOUN,1,14,0.1111111111111111,NOUN,0.10347222222222222,4
NOUN,1,14,0.1111111111111111,NOUN,0.23628117913832197,8
ADJ,1,14,0.1111111111111111,ADJ,0.06642512077294685,2
NOUN,1,14,0.1111111111111111,NOUN,0.1111111111111111,1
