word,Pos_x,wordCount_x,dt,doc_id,doc,subcorpus,percent_of_total,Pos_y,avg_freq,wordCount_y,prevalence,wordavg
Most,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.00465707281586792,12,0.12,0.00048262548262548264
able,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.004759424326151626,23,0.23,0.0009250321750321751
advocate,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.005470411277364084,3,0.03,0.00012065637065637066
age,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.007863287349881475,14,0.14,0.0005630630630630631
attention,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00448619671698953,12,0.12,0.00048262548262548264
autism,NOUN,12,04/09/2008,M113e9,1,mainstream,0.05741626794258373,NOUN,0.022360518412048183,43,0.43,0.0017294079794079795
autistic,ADJ,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,ADJ,0.005516753416884418,3,0.03,0.00012065637065637066
average,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.008117889129305727,15,0.15,0.0006032818532818533
bowel,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.005307516278056919,6,0.06,0.00024131274131274132
boy,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.0043321303783467454,6,0.06,0.00024131274131274132
british,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0034975934098565847,10,0.1,0.00040218790218790216
bulk,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004784688995215311,1,0.01,4.021879021879022e-05
case,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.011920730992001546,99,0.99,0.0039816602316602315
central,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.00292076619037153,5,0.05,0.00020109395109395108
certain,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0029289767654125864,11,0.11,0.0004424066924066924
child,NOUN,9,04/09/2008,M113e9,1,mainstream,0.0430622009569378,NOUN,0.01683827913236771,67,0.67,0.0026946589446589448
childhood,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.011353761579965387,3,0.03,0.00012065637065637066
children,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.009426110630614428,3,0.03,0.00012065637065637066
claim,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.009339550900654142,23,0.23,0.0009250321750321751
coauthor,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004334650657632343,4,0.04,0.00016087516087516087
colonoscopy,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.003856473340945869,3,0.03,0.00012065637065637066
complaint,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.004354767111855326,5,0.05,0.00020109395109395108
concern,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.006606362187125362,33,0.33,0.0013272200772200772
condition,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00543179871306401,27,0.27,0.001085907335907336
confident,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.004784688995215311,1,0.01,4.021879021879022e-05
country,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.008924639084304733,98,0.98,0.003941441441441441
critic,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.004351894779431543,10,0.1,0.00040218790218790216
decade,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0065682056552873345,33,0.33,0.0013272200772200772
disorder,NOUN,5,04/09/2008,M113e9,1,mainstream,0.023923444976076555,NOUN,0.008345829951992609,12,0.12,0.00048262548262548264
distress,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0028055676381035233,2,0.02,8.043758043758043e-05
early,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.005501964266510088,32,0.32,0.001287001287001287
estimate,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0037046804556129047,2,0.02,8.043758043758043e-05
evidence,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.012230607510024647,60,0.6,0.002413127413127413
fact,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0057887317827677465,41,0.41,0.001648970398970399
fear,NOUN,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,NOUN,0.010119212410250461,18,0.18,0.0007239382239382239
first,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.008654419278606301,83,0.83,0.003338159588159588
further,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0037997730201646965,23,0.23,0.0009250321750321751
gastrointestinal,ADJ,2,04/09/2008,M113e9,1,mainstream,0.009569377990430622,ADJ,0.0069808822602226315,5,0.05,0.00020109395109395108
genetic,ADJ,3,04/09/2008,M113e9,1,mainstream,0.014354066985645933,NOUN,0.008583663303699873,23,0.23,0.0009250321750321751
gi,NOUN,5,04/09/2008,M113e9,1,mainstream,0.023923444976076555,NOUN,0.014902898958626513,6,0.06,0.00024131274131274132
half,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.007959746817946593,10,0.1,0.00040218790218790216
hundred,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.0047779472768245705,9,0.09,0.00036196911196911195
infant,NOUN,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,NOUN,0.00526590771599846,2,0.02,8.043758043758043e-05
infectious,ADJ,1,04/09/2008,M113e9,1,mainstream,0.004784688995215311,ADJ,0.0033727366544704005,2,0.02,8.043758043758043e-05
