word,Pos,avg_freq,wordCount,prevalence,wordavg
104woman,NOUN,0.0045662100456621,1,0.01,4.021879021879022e-05
10bn,NOUN,0.0026189436927106066,2,0.02,8.043758043758043e-05
10th,ADJ,0.01282051282051282,1,0.01,4.021879021879022e-05
1130am,NOUN,0.001838235294117647,1,0.01,4.021879021879022e-05
118bn,NOUN,0.001349527665317139,1,0.01,4.021879021879022e-05
11th,NOUN,0.0024096385542168677,1,0.01,4.021879021879022e-05
12th,NOUN,0.014136302294197031,3,0.03,0.00012065637065637066
15bn,ADJ,0.001349527665317139,1,0.01,4.021879021879022e-05
1800,NOUN,0.014948642699926632,2,0.02,8.043758043758043e-05
1920,NOUN,0.005025125628140704,1,0.01,4.021879021879022e-05
1930,NOUN,0.005025125628140704,1,0.01,4.021879021879022e-05
1940,NOUN,0.005025125628140704,1,0.01,4.021879021879022e-05
1950,NOUN,0.003928993408971202,2,0.02,8.043758043758043e-05
1960,NOUN,0.005332649700321392,3,0.03,0.00012065637065637066
1970,NOUN,0.0061584898495846765,10,0.1,0.00040218790218790216
1980,NOUN,0.0032680320863408188,4,0.04,0.00016087516087516087
1990,NOUN,0.003116947923216106,3,0.03,0.00012065637065637066
19bn,ADJ,0.006329113924050633,1,0.01,4.021879021879022e-05
1bn,ADJ,0.002590472644919106,2,0.02,8.043758043758043e-05
1st,NOUN,0.0014104372355430183,1,0.01,4.021879021879022e-05
20,NOUN,0.0023584905660377358,1,0.01,4.021879021879022e-05
2000,NOUN,0.0035065985993586223,2,0.02,8.043758043758043e-05
20th,NOUN,0.00920198773617578,3,0.03,0.00012065637065637066
20thcentury,NOUN,0.003401360544217687,1,0.01,4.021879021879022e-05
21st,ADJ,0.0048181631395109925,2,0.02,8.043758043758043e-05
22318rb,NOUN,0.010101010101010102,1,0.01,4.021879021879022e-05
22rd,NOUN,0.0014641288433382138,1,0.01,4.021879021879022e-05
248bn,NOUN,0.0008264462809917355,1,0.01,4.021879021879022e-05
25bn,ADJ,0.0036618147621068752,2,0.02,8.043758043758043e-05
25tn,ADJ,0.0008264462809917355,1,0.01,4.021879021879022e-05
26bn,NOUN,0.00566685930777628,2,0.02,8.043758043758043e-05
27year,NOUN,0.002320185614849188,1,0.01,4.021879021879022e-05
2nd,ADJ,0.0014104372355430183,1,0.01,4.021879021879022e-05
30,NOUN,0.002631578947368421,1,0.01,4.021879021879022e-05
33yearold,NOUN,0.0041841004184100415,1,0.01,4.021879021879022e-05
36bn,NOUN,0.003215434083601286,1,0.01,4.021879021879022e-05
39bn,NOUN,0.0028129395218002813,2,0.02,8.043758043758043e-05
3bn,NOUN,0.005076142131979695,1,0.01,4.021879021879022e-05
45,NOUN,0.0041841004184100415,1,0.01,4.021879021879022e-05
48bn,NOUN,0.0008264462809917355,1,0.01,4.021879021879022e-05
4th,NOUN,0.0029870811200734477,2,0.02,8.043758043758043e-05
50th,ADJ,0.003947585978835978,2,0.02,8.043758043758043e-05
59th,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
5bn,NOUN,0.0025197822828430714,2,0.02,8.043758043758043e-05
6th,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
70,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
709bn,ADJ,0.001349527665317139,1,0.01,4.021879021879022e-05
715pm,NOUN,0.004524886877828055,1,0.01,4.021879021879022e-05
74bn,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
7th,NOUN,0.002040427154843631,2,0.02,8.043758043758043e-05
80,NOUN,0.0014064697609001407,1,0.01,4.021879021879022e-05
83lot,NOUN,0.003401360544217687,1,0.01,4.021879021879022e-05
89bn,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
90,NOUN,0.002976190476190476,1,0.01,4.021879021879022e-05
900pm,NOUN,0.004524886877828055,1,0.01,4.021879021879022e-05
92nd,ADJ,0.0014064697609001407,1,0.01,4.021879021879022e-05
Chemla,NOUN,0.0021645021645021645,1,0.01,4.021879021879022e-05
FTs,ADJ,0.004545454545454545,1,0.01,4.021879021879022e-05
GSK,NOUN,0.001349527665317139,1,0.01,4.021879021879022e-05
ISISIn,NOUN,0.0064516129032258064,1,0.01,4.021879021879022e-05
MINI,ADJ,0.004545454545454545,1,0.01,4.021879021879022e-05
MRSA,NOUN,0.008645533141210375,3,0.03,0.00012065637065637066
More,ADJ,0.0031391255534105487,12,0.12,0.00048262548262548264
Most,ADJ,0.00465707281586792,12,0.12,0.00048262548262548264
People,NOUN,0.005915145248234486,18,0.18,0.0007239382239382239
WEFs,ADJ,0.0026041666666666665,1,0.01,4.021879021879022e-05
abdominal,ADJ,0.007936507936507936,1,0.01,4.021879021879022e-05
abduction,NOUN,0.009345794392523364,1,0.01,4.021879021879022e-05
ability,NOUN,0.004008424708085702,9,0.09,0.00036196911196911195
ablaze,ADJ,0.0014104372355430183,1,0.01,4.021879021879022e-05
able,ADJ,0.004759424326151626,23,0.23,0.0009250321750321751
abortion,NOUN,0.005312309151626191,4,0.04,0.00016087516087516087
about,ADJ,0.005025125628140704,1,0.01,4.021879021879022e-05
above,ADJ,0.009350852457133798,5,0.05,0.00020109395109395108
abroken,ADJ,0.0026246719160104987,1,0.01,4.021879021879022e-05
absence,NOUN,0.004039736541759192,3,0.03,0.00012065637065637066
absent,ADJ,0.0031847133757961785,1,0.01,4.021879021879022e-05
absolute,ADJ,0.005702628028015164,2,0.02,8.043758043758043e-05
absorption,NOUN,0.005169504332057223,2,0.02,8.043758043758043e-05
abstract,ADJ,0.003401360544217687,1,0.01,4.021879021879022e-05
abundance,NOUN,0.0031847133757961785,1,0.01,4.021879021879022e-05
abundant,ADJ,0.008620689655172414,1,0.01,4.021879021879022e-05
abuse,NOUN,0.002822281214147385,6,0.06,0.00024131274131274132
abusive,ADJ,0.0021645021645021645,1,0.01,4.021879021879022e-05
academia,NOUN,0.0036900369003690036,1,0.01,4.021879021879022e-05
academic,NOUN,0.004296764575217049,6,0.06,0.00024131274131274132
accelerated,ADJ,0.0036900369003690036,1,0.01,4.021879021879022e-05
acceleration,NOUN,0.005747126436781609,1,0.01,4.021879021879022e-05
acceptable,ADJ,0.004975124378109453,1,0.01,4.021879021879022e-05
acceptance,NOUN,0.0021645021645021645,1,0.01,4.021879021879022e-05
access,NOUN,0.00885399573224325,17,0.17,0.0006837194337194337
accessible,ADJ,0.0027735147973385376,4,0.04,0.00016087516087516087
accession,NOUN,0.003215434083601286,1,0.01,4.021879021879022e-05
accident,NOUN,0.002898550724637681,2,0.02,8.043758043758043e-05
accidental,ADJ,0.006743986254295533,2,0.02,8.043758043758043e-05
acclaim,NOUN,0.0021645021645021645,1,0.01,4.021879021879022e-05
accommodation,NOUN,0.0064087110253937644,2,0.02,8.043758043758043e-05
accordance,NOUN,0.0014104372355430183,1,0.01,4.021879021879022e-05
account,NOUN,0.0042460775264945155,10,0.1,0.00040218790218790216
accountable,ADJ,0.003666807472073594,2,0.02,8.043758043758043e-05
accounting,NOUN,0.001349527665317139,1,0.01,4.021879021879022e-05
accumulation,NOUN,0.005042409249255314,2,0.02,8.043758043758043e-05
accuracy,NOUN,0.004364777481932293,3,0.03,0.00012065637065637066
accurate,ADJ,0.0020920502092050207,1,0.01,4.021879021879022e-05
accusation,NOUN,0.0031847133757961785,1,0.01,4.021879021879022e-05
