vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
1,Most,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,able,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,advocate,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,age,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,attention,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,autism,NOUN,12,04/09/2008,M113e9,mainstream,0.05741626794258373
1,autistic,ADJ,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,average,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,bowel,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,boy,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,british,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,bulk,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,case,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,central,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,certain,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,child,NOUN,9,04/09/2008,M113e9,mainstream,0.0430622009569378
1,childhood,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,children,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,claim,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,coauthor,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,colonoscopy,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,complaint,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,concern,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,condition,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,confident,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,country,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,critic,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,decade,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,disorder,NOUN,5,04/09/2008,M113e9,mainstream,0.023923444976076555
1,distress,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,early,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,estimate,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,evidence,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,fact,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,fear,NOUN,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,first,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,further,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,gastrointestinal,ADJ,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,genetic,ADJ,3,04/09/2008,M113e9,mainstream,0.014354066985645933
1,gi,NOUN,5,04/09/2008,M113e9,mainstream,0.023923444976076555
1,half,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,hundred,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,infant,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,infectious,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,international,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,intestine,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,issue,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,journal,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,kid,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,last,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,link,NOUN,3,04/09/2008,M113e9,mainstream,0.014354066985645933
1,many,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,material,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,measle,NOUN,10,04/09/2008,M113e9,mainstream,0.04784688995215311
1,medicine,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,modern,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,month,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,more,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,mump,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,nervous,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,neurologic,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,new,ADJ,2,04/09/2008,M113e9,mainstream,0.009569377990430622
1,one,NOUN,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,online,ADJ,1,04/09/2008,M113e9,mainstream,0.004784688995215311
1,other,ADJ,2,04/09/2008,M113e9,mainstream,0.009569377990430622
