vector,word,Pos,wordCount,dt,doc_id,doc,subcorpus,percent_of_total
16,19bn,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,absolute,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,algorithm,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,artificial,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,average,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,big,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,biotech,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,blockchain,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,capitalist,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,care,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,chemical,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,chipmaker,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,code,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,collaboration,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,commercial,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,company,NOUN,7,04/06/2019,M0af5a,16,mainstream,0.04430379746835443
16,competitive,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,competitor,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,compound,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,consortium,NOUN,2,04/06/2019,M0af5a,16,mainstream,0.012658227848101266
16,core,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,cost,NOUN,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
16,cumbersome,ADJ,1,04/06/2019,M0af5a,16,mainstream,0.006329113924050633
