vector,word,Pos,wordCount,dt,doc_id,subcorpus,percent_of_total
66,able,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,appropriate,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,atrocity,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,available,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,baby,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,big,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,branch,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,buying,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,camp,NOUN,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,candidate,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,care,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,chamber,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,chemical,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,child,NOUN,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,company,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,complex,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,concentration,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,condition,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,corporation,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,dark,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,datum,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,day,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,diphtheria,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,disregard,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,enema,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,experiment,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,factory,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,fever,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,followup,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,form,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,further,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,gas,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,gasoline,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,giant,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,good,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,healthy,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,history,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,home,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,human,ADJ,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,humanity,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,iceberg,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,ideal,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,ill,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,individual,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,industry,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,injection,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,inmate,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,interest,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,invalid,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,invention,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,irish,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,journal,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,kind,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,laboratory,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,large,ADJ,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,letter,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,life,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,major,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,majority,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,manufacturing,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,many,ADJ,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,medical,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,medicine,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,message,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,mind,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,more,ADJ,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,new,ADJ,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,only,ADJ,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,organisation,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,other,ADJ,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,own,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,patient,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,percent,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,pharmaceutical,NOUN,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,pill,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,place,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,player,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,poor,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,population,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,powder,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,prisoner,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,privy,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,product,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,record,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,report,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,resident,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,residential,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,responsible,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,result,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,rubber,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,satisfactory,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,secret,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,setting,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,shipment,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,sick,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,sleeping,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,state,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,staterun,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,subject,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,subsidiary,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,successful,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,synthetic,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,test,NOUN,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,testimonial,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,testing,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,tip,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,total,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,trial,NOUN,3,26/11/2019,C0604a,conspiracy,0.0196078431372549
66,tuberculous,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,typhus,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,typical,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,unlucky,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,unmarked,ADJ,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,vaccine,NOUN,4,26/11/2019,C0604a,conspiracy,0.026143790849673203
66,victim,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,ward,NOUN,2,26/11/2019,C0604a,conspiracy,0.013071895424836602
66,woman,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,world,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
66,year,NOUN,1,26/11/2019,C0604a,conspiracy,0.006535947712418301
