word,pos,vector,doc_id,subcorpus,dt
new,ADJ,1,M113e9,mainstream,04/09/2008
study,NOUN,1,M113e9,mainstream,04/09/2008
link,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
new,ADJ,1,M113e9,mainstream,04/09/2008
research,NOUN,1,M113e9,mainstream,04/09/2008
further,ADJ,1,M113e9,mainstream,04/09/2008
link,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
work,NOUN,1,M113e9,mainstream,04/09/2008
surge,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
case,NOUN,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
unvaccinated,ADJ,1,M113e9,mainstream,04/09/2008
year,NOUN,1,M113e9,mainstream,04/09/2008
research,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
mump,NOUN,1,M113e9,mainstream,04/09/2008
rubella,NOUN,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
parent,NOUN,1,M113e9,mainstream,04/09/2008
fear,NOUN,1,M113e9,mainstream,04/09/2008
part,NOUN,1,M113e9,mainstream,04/09/2008
british,ADJ,1,M113e9,mainstream,04/09/2008
study,NOUN,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
subgroup,NOUN,1,M113e9,mainstream,04/09/2008
autistic,ADJ,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
serious,ADJ,1,M113e9,mainstream,04/09/2008
gastrointestinal,ADJ,1,M113e9,mainstream,04/09/2008
problem,NOUN,1,M113e9,mainstream,04/09/2008
study,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
virus,NOUN,1,M113e9,mainstream,04/09/2008
children,NOUN,1,M113e9,mainstream,04/09/2008
bowel,NOUN,1,M113e9,mainstream,04/09/2008
researcher,NOUN,1,M113e9,mainstream,04/09/2008
sample,NOUN,1,M113e9,mainstream,04/09/2008
youngster,NOUN,1,M113e9,mainstream,04/09/2008
sign,NOUN,1,M113e9,mainstream,04/09/2008
virus,NOUN,1,M113e9,mainstream,04/09/2008
modern,ADJ,1,M113e9,mainstream,04/09/2008
genetic,ADJ,1,M113e9,mainstream,04/09/2008
technology,NOUN,1,M113e9,mainstream,04/09/2008
evidence,NOUN,1,M113e9,mainstream,04/09/2008
role,NOUN,1,M113e9,mainstream,04/09/2008
international,ADJ,1,M113e9,mainstream,04/09/2008
team,NOUN,1,M113e9,mainstream,04/09/2008
researcher,NOUN,1,M113e9,mainstream,04/09/2008
issue,NOUN,1,M113e9,mainstream,04/09/2008
fact,NOUN,1,M113e9,mainstream,04/09/2008
evidence,NOUN,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
safe,ADJ,1,M113e9,mainstream,04/09/2008
bulk,NOUN,1,M113e9,mainstream,04/09/2008
population,NOUN,1,M113e9,mainstream,04/09/2008
respect,NOUN,1,M113e9,mainstream,04/09/2008
kid,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
complaint,NOUN,1,M113e9,mainstream,04/09/2008
work,NOUN,1,M113e9,mainstream,04/09/2008
online,ADJ,1,M113e9,mainstream,04/09/2008
journal,NOUN,1,M113e9,mainstream,04/09/2008
confident,ADJ,1,M113e9,mainstream,04/09/2008
link,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
coauthor,NOUN,1,M113e9,mainstream,04/09/2008
certain,ADJ,1,M113e9,mainstream,04/09/2008
safe,ADJ,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
infectious,ADJ,1,M113e9,mainstream,04/09/2008
virus,NOUN,1,M113e9,mainstream,04/09/2008
red,ADJ,1,M113e9,mainstream,04/09/2008
skin,NOUN,1,M113e9,mainstream,04/09/2008
rash,NOUN,1,M113e9,mainstream,04/09/2008
thousand,NOUN,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
year,NOUN,1,M113e9,mainstream,04/09/2008
hundred,NOUN,1,M113e9,mainstream,04/09/2008
childhood,NOUN,1,M113e9,mainstream,04/09/2008
vaccination,NOUN,1,M113e9,mainstream,04/09/2008
rarity,NOUN,1,M113e9,mainstream,04/09/2008
country,NOUN,1,M113e9,mainstream,04/09/2008
year,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
decade,NOUN,1,M113e9,mainstream,04/09/2008
Most,ADJ,1,M113e9,mainstream,04/09/2008
patient,NOUN,1,M113e9,mainstream,04/09/2008
infant,NOUN,1,M113e9,mainstream,04/09/2008
young,ADJ,1,M113e9,mainstream,04/09/2008
first,ADJ,1,M113e9,mainstream,04/09/2008
half,NOUN,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
parent,NOUN,1,M113e9,mainstream,04/09/2008
vaccination,NOUN,1,M113e9,mainstream,04/09/2008
last,ADJ,1,M113e9,mainstream,04/09/2008
month,NOUN,1,M113e9,mainstream,04/09/2008
one,NOUN,1,M113e9,mainstream,04/09/2008
many,ADJ,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
patient,NOUN,1,M113e9,mainstream,04/09/2008
gastrointestinal,ADJ,1,M113e9,mainstream,04/09/2008
disorder,NOUN,1,M113e9,mainstream,04/09/2008
pain,NOUN,1,M113e9,mainstream,04/09/2008
able,ADJ,1,M113e9,mainstream,04/09/2008
estimate,NOUN,1,M113e9,mainstream,04/09/2008
quarter,NOUN,1,M113e9,mainstream,04/09/2008
fear,NOUN,1,M113e9,mainstream,04/09/2008
vaccine,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
virus,NOUN,1,M113e9,mainstream,04/09/2008
intestine,NOUN,1,M113e9,mainstream,04/09/2008
waste,NOUN,1,M113e9,mainstream,04/09/2008
product,NOUN,1,M113e9,mainstream,04/09/2008
central,ADJ,1,M113e9,mainstream,04/09/2008
nervous,ADJ,1,M113e9,mainstream,04/09/2008
system,NOUN,1,M113e9,mainstream,04/09/2008
team,NOUN,1,M113e9,mainstream,04/09/2008
question,NOUN,1,M113e9,mainstream,04/09/2008
measle,NOUN,1,M113e9,mainstream,04/09/2008
virus,NOUN,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
disorder,NOUN,1,M113e9,mainstream,04/09/2008
other,ADJ,1,M113e9,mainstream,04/09/2008
youngster,NOUN,1,M113e9,mainstream,04/09/2008
vaccination,NOUN,1,M113e9,mainstream,04/09/2008
complaint,NOUN,1,M113e9,mainstream,04/09/2008
turn,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
autism,NOUN,1,M113e9,mainstream,04/09/2008
gi,NOUN,1,M113e9,mainstream,04/09/2008
disorder,NOUN,1,M113e9,mainstream,04/09/2008
child,NOUN,1,M113e9,mainstream,04/09/2008
same,ADJ,1,M113e9,mainstream,04/09/2008
gi,NOUN,1,M113e9,mainstream,04/09/2008
disorder,NOUN,1,M113e9,mainstream,04/09/2008
neurologic,ADJ,1,M113e9,mainstream,04/09/2008
problem,NOUN,1,M113e9,mainstream,04/09/2008
youngster,NOUN,1,M113e9,mainstream,04/09/2008
average,ADJ,1,M113e9,mainstream,04/09/2008
