vector,word,wordCount,dt,doc_id,doc,percent_of_total
1,Most,1,04/09/2008,M113e9,1,0.0047846889952153
1,able,1,04/09/2008,M113e9,1,0.0047846889952153
1,advocate,1,04/09/2008,M113e9,1,0.0047846889952153
1,age,2,04/09/2008,M113e9,1,0.0095693779904306
1,attention,1,04/09/2008,M113e9,1,0.0047846889952153
1,autism,12,04/09/2008,M113e9,1,0.0574162679425837
1,autistic,2,04/09/2008,M113e9,1,0.0095693779904306
1,average,1,04/09/2008,M113e9,1,0.0047846889952153
1,bowel,2,04/09/2008,M113e9,1,0.0095693779904306
1,boy,2,04/09/2008,M113e9,1,0.0095693779904306
1,british,1,04/09/2008,M113e9,1,0.0047846889952153
1,bulk,1,04/09/2008,M113e9,1,0.0047846889952153
1,case,1,04/09/2008,M113e9,1,0.0047846889952153
1,central,1,04/09/2008,M113e9,1,0.0047846889952153
1,certain,1,04/09/2008,M113e9,1,0.0047846889952153
1,child,9,04/09/2008,M113e9,1,0.0430622009569378
1,childhood,1,04/09/2008,M113e9,1,0.0047846889952153
1,children,1,04/09/2008,M113e9,1,0.0047846889952153
1,claim,1,04/09/2008,M113e9,1,0.0047846889952153
1,coauthor,1,04/09/2008,M113e9,1,0.0047846889952153
1,colonoscopy,1,04/09/2008,M113e9,1,0.0047846889952153
1,complaint,2,04/09/2008,M113e9,1,0.0095693779904306
1,concern,2,04/09/2008,M113e9,1,0.0095693779904306
1,condition,1,04/09/2008,M113e9,1,0.0047846889952153
1,confident,1,04/09/2008,M113e9,1,0.0047846889952153
1,country,1,04/09/2008,M113e9,1,0.0047846889952153
1,critic,1,04/09/2008,M113e9,1,0.0047846889952153
1,decade,1,04/09/2008,M113e9,1,0.0047846889952153
1,disorder,5,04/09/2008,M113e9,1,0.0239234449760765
1,distress,1,04/09/2008,M113e9,1,0.0047846889952153
1,early,1,04/09/2008,M113e9,1,0.0047846889952153
1,estimate,1,04/09/2008,M113e9,1,0.0047846889952153
1,evidence,2,04/09/2008,M113e9,1,0.0095693779904306
1,fact,1,04/09/2008,M113e9,1,0.0047846889952153
1,fear,2,04/09/2008,M113e9,1,0.0095693779904306
1,first,1,04/09/2008,M113e9,1,0.0047846889952153
1,further,1,04/09/2008,M113e9,1,0.0047846889952153
1,gastrointestinal,2,04/09/2008,M113e9,1,0.0095693779904306
1,genetic,3,04/09/2008,M113e9,1,0.0143540669856459
1,gi,5,04/09/2008,M113e9,1,0.0239234449760765
1,half,1,04/09/2008,M113e9,1,0.0047846889952153
1,hundred,1,04/09/2008,M113e9,1,0.0047846889952153
1,infant,1,04/09/2008,M113e9,1,0.0047846889952153
1,infectious,1,04/09/2008,M113e9,1,0.0047846889952153
1,international,1,04/09/2008,M113e9,1,0.0047846889952153
1,intestine,1,04/09/2008,M113e9,1,0.0047846889952153
1,issue,1,04/09/2008,M113e9,1,0.0047846889952153
1,journal,1,04/09/2008,M113e9,1,0.0047846889952153
1,kid,1,04/09/2008,M113e9,1,0.0047846889952153
1,last,1,04/09/2008,M113e9,1,0.0047846889952153
1,link,3,04/09/2008,M113e9,1,0.0143540669856459
1,many,1,04/09/2008,M113e9,1,0.0047846889952153
1,material,1,04/09/2008,M113e9,1,0.0047846889952153
1,measle,10,04/09/2008,M113e9,1,0.0478468899521531
1,medicine,1,04/09/2008,M113e9,1,0.0047846889952153
1,modern,1,04/09/2008,M113e9,1,0.0047846889952153
1,month,1,04/09/2008,M113e9,1,0.0047846889952153
1,more,1,04/09/2008,M113e9,1,0.0047846889952153
1,mump,1,04/09/2008,M113e9,1,0.0047846889952153
1,nervous,1,04/09/2008,M113e9,1,0.0047846889952153
1,neurologic,1,04/09/2008,M113e9,1,0.0047846889952153
1,new,2,04/09/2008,M113e9,1,0.0095693779904306
1,one,1,04/09/2008,M113e9,1,0.0047846889952153
1,online,1,04/09/2008,M113e9,1,0.0047846889952153
